Index, Size, ZScore
662, 17828, 1.69
663, 5966, -0.83
664, 20874, 2.17
665, 17056, 1.24
666, 23408, 2.36
667, 27476, 2.82
668, 38630, 4.12
669, 21889, 1.15
670, 22480, 1.15
671, 8757, -0.51
672, 12926, -0.01
673, 34910, 2.60
674, 38475, 2.68
675, 44677, 2.97
676, 22092, 0.50
677, 23291, 0.56
678, 5980, -1.07
679, 16349, -0.07
680, 14183, -0.32
681, 19268, 0.19
682, 17332, -0.04
683, 19895, 0.18
684, 10182, -0.79
685, 4385, -1.36
686, 4539, -1.31
687, 9210, -0.87
688, 15419, -0.26
689, 12558, -0.56
690, 14629, -0.39
691, 11503, -0.72
692, 12719, -0.58
693, 22182, 0.38
694, 19712, 0.08
695, 17364, -0.15
696, 21002, 0.21
697, 19612, 0.08
698, 20004, 0.15
699, 22393, 0.50
700, 21882, 0.44
701, 19824, 0.21
702, 20256, 0.22
703, 19538, 0.11
704, 15747, -0.27
705, 22166, 0.67
706, 22283, 1.07
707, 10953, -1.03
708, 12479, -0.68
709, 8408, -1.57
710, 12569, -0.67
711, 11068, -0.94
712, 6722, -1.70
713, 11771, -0.65
714, 18332, 0.59
715, 20874, 1.01
716, 11177, -0.92
717, 10188, -1.25
718, 10764, -1.14
719, 10516, -1.14
720, 15853, -0.02
721, 13747, -0.46
722, 17658, 0.33
723, 18683, 0.51
724, 18680, 0.55
725, 12905, -0.68
726, 20740, 1.02
727, 13945, -0.42
728, 12138, -0.77
729, 9658, -1.26
730, 13336, -0.38
731, 13385, -0.31
732, 12840, -0.40
733, 16523, 0.53
734, 13614, -0.14
735, 12625, -0.37
736, 18006, 1.11
737, 13941, 0.08
738, 13531, -0.07
739, 16146, 0.67
740, 15688, 0.48
741, 8708, -1.62
742, 9530, -1.31
743, 18332, 1.26
744, 19523, 1.53
745, 15883, 0.42
746, 22051, 2.43
747, 21831, 2.09
748, 21868, 1.92
749, 20116, 1.28
750, 20274, 1.25
751, 17595, 0.46
752, 17014, 0.27
753, 21792, 1.56
754, 19690, 0.94
755, 15017, -0.28
756, 16590, 0.11
757, 19659, 0.97
758, 20429, 1.11
759, 20179, 0.97
760, 21738, 1.35
761, 21524, 1.20
762, 21779, 1.19
763, 20028, 0.64
764, 20626, 0.77
765, 20116, 0.57
766, 19983, 0.48
767, 20165, 0.51
768, 19985, 0.41
769, 21691, 0.88
770, 19834, 0.26
771, 19952, 0.26
772, 19600, 0.04
773, 19621, -0.12
774, 19316, -0.31
775, 19494, -0.21
776, 19793, -0.12
777, 19441, -0.30
778, 23126, 2.15
779, 22720, 1.77
780, 22573, 1.55
781, 13754, -3.59
782, 19896, -0.01
783, 19909, -0.05
784, 18045, -0.98
785, 9530, -5.26
786, 11578, -3.16
787, 14003, -1.90
788, 16601, -0.89
789, 13098, -1.97
790, 16985, -0.61
791, 12719, -1.87
792, 15955, -0.76
793, 12069, -1.85
794, 10422, -2.16
795, 19193, 0.39
796, 22911, 1.39
797, 15468, -0.61
798, 15389, -0.59
799, 13712, -0.98
800, 14759, -0.65
801, 12241, -1.26
802, 10936, -1.52
803, 12050, -1.12
804, 16577, 0.08
805, 16108, -0.01
806, 13567, -0.64
807, 14189, -0.43
808, 8850, -1.78
809, 7374, -2.08
810, 8652, -1.61
811, 21471, 2.02
812, 18045, 0.94
813, 20085, 1.52
814, 7343, -1.89
815, 17577, 0.90
816, 17271, 0.76
817, 17715, 0.83
818, 20475, 1.50
819, 17739, 0.74
820, 18296, 0.83
821, 17817, 0.70
822, 20903, 1.41
823, 16514, 0.29
824, 17596, 0.51
825, 10057, -1.38
826, 20599, 1.26
827, 21065, 1.43
828, 20304, 1.16
829, 15500, -0.04
830, 22605, 1.63
831, 22233, 1.42
832, 22102, 1.29
833, 17575, 0.20
834, 19970, 0.70
835, 17494, 0.11
836, 22385, 1.21
837, 21586, 0.95
838, 9554, -1.78
